id,sunh,swb
1,4.9,7.5
1,3.9,8.25
1,5.1,5.75
1,3.9,7
1,4.4,7.5
1,4.5,7.75
1,4.2,5
1,3.7,8.25
1,3.8,6.75
1,7.9,7.75
1,6.6,10
1,5.6,6.75
1,4,5.25
1,3.3,7.75
1,4.8,6
1,4.2,8.25
1,4.5,8
1,5.5,10
1,5.9,6.75
1,3.4,8.5
1,2.9,8.25
1,2.8,9
1,5.2,6.5
1,3.9,5.75
1,5.1,8
1,4.8,6
1,4.3,3
1,3.5,6
1,4.5,8.25
1,3.7,6.75
1,5,7.5
1,4.5,8.25
1,4.3,7.25
1,4.5,4.5
1,3.2,6.5
1,4.5,6.25
1,4.1,7.25
1,5.8,3
1,6,9
1,3.5,6.75
1,3.4,8.5
1,5.2,9.5
1,1.8,9
1,2.9,8.5
1,3.6,5.5
2,4.3,4.5
2,3.9,3.75
2,4.9,5
2,5.1,6.25
2,6.1,5.75
2,5.8,3.5
2,5.8,4
2,5.4,5
2,3.6,3.75
2,3.7,7.25
2,5.3,7.75
2,4.9,4.5
2,5.2,5
2,5.4,7.5
2,4.6,10
2,5.2,3.75
2,5.9,7.75
2,6.7,6.75
2,5.4,4
2,5.7,6.25
2,4.9,2.75
2,4.6,7
2,3.7,2.75
2,2.6,6.25
2,5.3,6.25
2,6,4.75
2,5.3,9
2,6.4,5.5
2,5.5,6.75
2,4.4,6
2,2.9,1
2,5.5,7.5
2,4.7,3.75
2,3.6,4
2,4.9,5.5
2,5.9,6.75
2,4.5,5.75
2,5.3,3.5
2,3.9,2.75
2,4.4,5.25
2,6.3,3
2,5.4,8.5
2,4.7,4.5
2,5.7,4.25
2,4.5,6.5
3,0.8,6.75
3,1.4,7.25
3,2.3,6.5
3,2.2,7.5
3,1.7,7.5
3,1.1,6
3,2.1,8.5
3,3.5,5
3,0.7,6.75
3,0.7,6.5
3,1,8
3,1.7,7
3,2.1,8.75
3,3.2,8.5
3,1.8,10
3,3.5,8.25
3,2.8,8.5
3,2.6,10
3,3.2,10
3,1.4,6.25
3,1.2,7.5
3,2,7.25
3,2.5,7.5
3,2.8,9.25
3,1.6,8.75
3,0.2,7
3,4.8,9.25
3,2.1,6.75
3,1.4,8.5
3,2.2,8
3,3.6,10
3,1.1,8.5
3,1.3,4.75
3,2.9,8
3,1.1,8
3,1.9,8.75
3,1.6,9
3,0.9,9.5
3,1.1,6
3,2.5,6.75
3,1.2,8.5
3,1.3,5
3,3.6,5.5
3,3.9,10
3,2.4,7.5
4,0.2,8.75
4,2.8,6.5
4,2.3,7
4,1.3,10
4,3,7
4,1.3,8
4,3.3,8.5
4,3.6,9.25
4,4,8
4,2.4,7.75
4,2.1,4.5
4,0.5,9.75
4,3,8.75
4,1.9,8
4,0.9,9.25
4,1.1,7.5
4,2.8,9.5
4,0.5,9.25
4,2.5,3.75
4,2.5,8.75
4,1.6,8.75
4,1.6,4.75
4,2.9,8.25
4,1.7,10
4,1.2,6.5
4,4.1,7.25
4,1,8
4,1.3,6.5
4,1.9,4.5
4,0.2,6.25
4,2,8.75
4,2.3,8
4,3.8,9.5
4,1.8,5.25
4,3.9,7.25
4,1.8,7.25
4,1.3,8.75
4,1.9,9.5
4,3.6,9.25
4,2.1,5.5
4,2.9,7
4,2.6,7.25
4,2.5,7
4,1.8,6.5
4,3.5,7.25
5,5,6.5
5,3.6,8.25
5,3.4,8
5,4.5,10
5,4.6,9.5
5,4.3,10
5,4.8,6
5,4.5,8.25
5,5.3,5.25
5,2.7,7.25
5,5,6.5
5,4.2,8.75
5,3.6,9.5
5,3.4,8.5
5,5.4,9.25
5,4.2,6.75
5,3.6,4.75
5,3.6,4.5
5,5.1,6.75
5,3.1,6.25
5,5.4,9.75
5,3.7,6.75
5,4.3,8.5
5,3.8,6.75
5,3.8,9
5,3.7,7
5,4.6,8.75
5,2.9,7
5,4.3,7.5
5,4.4,9.25
5,6.3,4.75
5,4.8,10
