id,sunh,swb
5,3.4,6.5
5,4.9,8
5,3.9,10
5,5.4,5.5
5,5.5,9.25
5,2.5,3.75
5,3.7,6
5,4.4,4.5
5,3.5,8.5
5,3.7,5.5
5,5.2,4.75
5,4.6,6
5,6.9,6
6,7.7,4.25
6,7.2,9.5
6,10.8,7.25
6,7.7,3.5
6,8.6,6.5
6,8.7,6.5
6,8.1,8.5
6,8.9,9
6,8,8.5
6,7.3,7.75
6,9.4,10
6,8,7.5
6,8.8,5.5
6,8,10
6,9.4,7.75
6,8.7,6.75
6,8,7
6,8,4.5
6,8.7,8.5
6,8.7,6.75
6,7.4,3.25
6,7.8,7.25
6,6,8.25
6,9,6.25
6,7,7.75
6,9.7,9.25
6,8.7,7.75
6,9.9,7
6,8.2,8.25
6,7.1,5.25
6,9.7,7.5
6,8.9,7.25
6,9.3,7.75
6,8.9,7.75
6,8.7,7
6,8.6,10
6,8.8,10
6,9.7,10
6,9.5,8.75
6,8,4.5
6,9.5,7.5
6,8.2,7.25
6,8.3,6
6,8.6,8.25
6,7.6,9.5
7,7.6,10
7,6.8,8.5
7,6.2,10
7,5.6,9.5
7,4.6,10
7,5.4,9
7,4.5,9
7,5.5,9.5
7,6.4,7
7,7.4,5.75
7,4.2,6
7,6.3,6.5
7,4.4,10
7,6.8,6.75
7,6.2,10
7,5.6,9
7,5.2,10
7,7,9
7,6.4,8.25
7,5.8,10
7,5.9,8.25
7,5.1,7.25
7,5.5,5.75
7,4.5,9
7,6.3,7.25
7,4.6,7
7,3.2,6.75
7,8.1,8.75
7,6.1,8.5
7,6.3,10
7,6.7,10
7,6.1,9
7,6.7,9.75
7,5.8,8.5
7,4.9,7
7,6.8,7
7,4.4,9.75
7,5.4,7.5
7,6.1,8
7,7.9,7.25
7,7,8.75
7,5.2,10
7,7.4,6.5
7,5.4,4.5
7,6,8.75
8,6.7,8
8,6.6,7.75
8,6.3,7.75
8,7,8.5
8,5.1,6.5
8,8.5,10
8,6.4,9.75
8,5.8,6
8,5.6,6.25
8,6.9,9.5
8,6.9,10
8,6.7,6.25
8,6,10
8,5.3,8.25
8,8.1,9
8,6.8,5.75
8,7.1,10
8,4.9,8.5
8,6.7,10
8,6.8,8
8,5.5,3.75
8,7,10
8,8.2,7.5
8,7.2,6
8,6.8,9.25
8,6.8,10
8,6,7.25
8,8.1,10
8,8.8,10
8,6.9,7.25
8,5.8,4.5
8,6.8,10
8,5.6,8.5
8,5,6.25
8,6.1,10
8,7,10
8,5,6
8,6.9,10
8,5.3,6.75
8,5.3,7.25
8,7.4,10
8,5.2,10
8,6.5,8.25
8,7.4,7.75
8,7.1,9.75
9,1.5,5.75
9,3.6,5
9,0,2.25
9,2.3,8.25
9,1.6,7
9,1.9,6.5
9,1,6.75
9,2.8,7
9,3.5,5.5
9,2.5,6.75
9,0.6,7.5
9,2.5,8
9,0,6.75
9,2.9,4.5
9,2.7,7.25
9,0.2,7.5
9,0,7.5
9,3,7.25
9,3.9,6.75
9,0.2,2
9,2,6
9,3.5,6.75
9,3.2,5.5
9,3.4,8.25
9,3.3,10
9,1.9,5.5
9,1.6,3.25
9,2.2,9.5
9,1.6,10
9,2.5,1.5
9,2.4,5.75
9,1.6,4.5
9,2.5,9.25
9,2.4,4.75
9,0.7,6.5
9,2.4,6.5
9,1.9,6
9,3.3,9.5
9,3.2,5
9,1.9,7.25
9,1.5,7.75
9,0.8,7.25
9,2.3,6.75
9,1.1,9.25
9,3.3,6.75
10,2.5,5.75
10,2.5,6.5
10,1.7,9.75
10,1,10
10,1.8,4
10,1.6,8.75
10,3.2,5.75
10,3.7,9.75
10,3.5,8.5
10,2.9,10
10,3.4,10
10,2.5,8.75
10,4,10
10,4.1,3
10,2.5,9.75
10,4.1,7
10,0.9,7.75
10,2.5,8.75
10,3.1,9.25
10,1.9,9.75
10,2.7,10
10,1.7,6.75
10,2.9,8.5
10,3.3,7.25
10,2.7,10
10,3.6,9.25
10,3,10
10,2.7,7.5
10,2.5,8.75
10,2.5,7
10,3.5,7.25
10,3.9,8
10,2.4,9.5
10,2.2,9.5
10,2.6,8
10,4.5,10
10,5.4,10
10,1.8,3.75
10,2.6,6
10,2.4,8
10,3.6,10
10,2,4.75
10,3.2,8
10,3.2,8.75
10,4.4,6.75
11,4.3,6.25
11,4,3.75
11,4,4.75
11,3.8,5.75
11,2.6,5.25
11,3,2.25
11,4,7.5
11,3.9,6.25
11,2.6,8
11,6.1,10
11,5,5.5
11,4.7,9.25
11,3.6,8.75
11,3.5,5.5
11,3,5.25
11,2,7
11,2,6
11,4.2,6.75
11,4.2,8
11,3.4,7.25
11,3.3,6
11,4.1,8
11,4.7,5.5
11,3.6,10
11,3.4,7
11,1.6,9
11,4.7,6.25
11,4.7,7.5
11,3.6,4.5
11,2.5,9
11,2.5,9
11,5.4,6.75
11,3,7
11,3.4,1.5
11,3.6,9
11,3.2,6.5
11,2.7,4.75
11,3.5,4.5
11,5.2,7.75
11,3.2,7.5
11,4,6.5
11,2.5,7
11,4.3,5.75
11,5.2,5.75
11,2.9,5
12,7.1,4.25
12,7.3,8
12,8.9,10
12,7,8.25
12,8.1,6.5
12,6.1,6
12,6.7,7.5
12,7.9,6
12,7.9,6.75
12,7.8,7
12,5.8,7.75
12,7.6,4
12,6.5,7.25
12,7.2,7.5
12,9.3,7.25
12,8.6,7
12,7.6,5.25
12,7.4,6.75
12,6.9,8
12,5.1,6.75
12,7,6.25
12,5.5,10
12,5.6,5
12,6.1,5
12,8.6,8.5
12,7.2,6.5
12,8,4.25
12,7,7
12,6.6,7.25
12,5.1,7.5
12,7.3,7
12,6.2,7.25
12,6.8,6.75
12,8.2,8.5
12,8.2,10
12,9.1,6
12,7.1,7.5
12,6.6,6.75
12,7.7,4.75
12,9.6,6.75
12,6.8,8.25
12,7.7,6.5
12,6.5,5.5
12,7.1,7
12,7.4,4.75
13,2.2,6.75
13,4.2,8.5
13,2.2,1.5
13,3.4,9.5
13,2.5,7.75
13,3.2,5.75
13,3.4,3.75
13,1.9,5.5
13,3.1,5.5
13,3.9,7.5
13,1.6,5.5
13,0.9,4.75
13,2.6,6.75
13,4.4,10
13,5.3,7.25
13,3,6.5
13,3.9,7.25
13,3.3,9.5
13,0.5,6
13,3,8
13,4.2,6.5
13,2.9,5.75
13,3.4,7.75
13,1.9,2.5
13,2.9,7.5
13,3.3,4.25
13,2.4,8.25
13,2.6,10
13,3.5,6.5
13,2.5,5.5
13,2.1,6.5
13,3.6,6.5
13,3.5,4.75
13,5,7
13,4.2,8.25
13,4.4,9.5
13,2.4,5.75
13,1.4,6.75
13,2.7,6.5
13,2.6,9.75
13,3.5,6.5
13,2.9,8.25
13,2,2.5
13,3.1,9.5
13,4.2,6.5
14,3.4,3
14,4.9,9
14,3.9,6.5
14,4.6,9.5
14,5.1,5.5
14,4.5,5.75
14,4.9,9.25
14,4,10
14,5.7,4.5
14,4.9,7
14,4.9,8.25
14,4.9,10
14,4.9,8.25
14,5.8,7
14,3.7,8.5
14,1.9,8
14,4.1,10
14,2.1,8.5
14,4.2,5.75
14,3.1,4
14,4.9,6.25
14,3.8,7
14,4.2,10
14,4.7,4
14,4.9,8.75
14,4,6.25
14,2.6,6.25
14,2.4,6.5
14,4,7
14,3.4,8.75
14,3.8,5.5
14,6.5,10
14,2.4,7
14,4.1,10
14,3.9,5.75
14,4.7,9.75
14,5,7.5
14,3.4,9.75
14,3.5,6.75
14,2.6,7.75
14,3.9,10
14,4.7,5
14,4.9,10
14,4.6,8.25
14,3.5,9
15,2.4,10
15,0.5,5
15,2.6,8.75
15,1.8,10
15,1.8,9.5
15,2.5,10
15,2.4,5.5
15,3.9,8.5
15,2.8,6.5
15,0.8,9
15,2.1,8
15,0.9,7
15,2.2,1.25
15,2.6,9.5
15,1.1,8.75
15,0.9,9.25
15,2.9,6.75
15,1.9,7.75
15,2.7,9
15,2.3,7
15,4,3.5
15,2.4,7
15,2,4.75
15,1.1,6.25
15,2.7,6.5
15,2.2,6.25
15,3.9,8.25
15,1,6.5
15,1.4,6.25
15,2.8,8
15,2.7,8.25
15,1.3,7.25
15,2.9,7.5
15,2.3,9.5
15,0,6.25
15,0.2,4
15,2.1,6
15,1.9,10
15,3,4
15,2.7,6.75
15,4,6.5
15,2.4,4.75
15,1.3,8.25
15,0.8,8.75
15,3.2,5
16,8.4,10
16,7.4,8.5
16,8.9,10
16,8.2,8
16,8.5,8.25
16,7.8,10
16,8.3,10
16,5.8,4.75
16,8.1,10
16,6.9,7.75
16,9.6,7.5
16,9.2,8.75
16,6.8,8.75
16,6.2,8.75
16,7.7,9
16,5.8,8.75
16,9,8.25
16,6.6,6
16,8.7,10
16,8.1,9
16,7.4,6.5
16,7.7,10
16,6.7,10
16,6.7,7.5
16,8.6,7.25
16,7.6,7.5
16,7.7,10
16,6.3,5.75
16,7.5,9.25
16,6.7,4.25
16,6.1,6.5
16,6.6,7.75
16,7.3,9.5
16,7.5,9.75
16,6.2,9
16,6.5,7.5
16,7.4,7
16,6.4,6.5
16,6.7,7.25
16,8.7,8.25
16,7.8,8.5
16,6.9,7.75
16,7.1,6.75
16,7.1,8.75
16,8.4,9
17,4.5,8.5
17,3.2,5.75
17,3.5,9.25
17,3.8,5.25
17,4.3,9.25
17,3.5,8.25
17,5.5,6.5
17,4.8,8
17,2.8,8.5
17,2.8,10
17,3.8,8.25
17,3.1,5.75
17,4.9,7.75
17,2.4,5.25
17,4.4,9.25
17,3.2,4
17,4.7,7.75
17,4.1,7.75
17,3,9.75
17,3.6,9
17,2.4,9.25
17,3,9
17,3.9,10
17,4.7,10
17,3.4,9.25
17,3.4,7.75
17,2.5,10
17,2.4,10
17,4.5,9.75
17,5.6,10
17,3,8
17,3.7,7
17,2.6,7.5
17,2.3,7
17,3.9,9.25
17,4.2,7
17,6.4,10
17,2.4,5
17,4.9,7.25
17,5.8,9.25
17,3.9,8.75
17,4,6
17,3.8,8.25
17,4.6,9
17,2.1,7.25
18,4.7,5.25
18,4.6,6.75
18,5.4,6.5
18,4.4,7.75
18,3.2,3.5
18,4.3,8
18,4.4,7.5
18,4.5,7
18,2.8,8
18,5.4,3.5
18,2.6,5.5
18,4.8,8.25
18,5.9,7
18,4.8,5.5
18,3.2,5.25
18,5,5.25
18,4,5.5
18,3.2,5.5
18,3.9,7.5
18,4.2,8.5
18,3.9,6.25
18,3.9,4.5
18,3.8,8
18,6.5,9
18,5,6.25
18,3.9,4.5
18,3.4,7
18,5.5,6
18,5.4,8.5
18,5.7,10
18,4.9,5.25
18,3.1,6
18,4.7,7.75
18,5.1,6.5
18,4.9,6.25
18,4.4,5
18,3,8.25
18,3.3,5.75
18,4.1,6.25
18,4,8
18,5.2,6.75
18,4.5,8.25
18,3.5,9.75
18,4.7,7.75
18,4.2,3.75
19,0,4
19,1.3,6
19,0.9,5.75
19,2.6,10
19,1.1,5
19,0.9,3.25
19,1.5,8
19,1.3,9.75
19,1.1,3.75
19,1.6,4.5
19,2.8,5.25
19,2.6,1.25
19,1.1,4.75
19,0.5,2.25
19,2.1,7.25
19,0,5.75
19,1.5,6.5
19,0.5,6
19,1.9,4.75
19,0.3,6
19,1.3,8.25
19,0.3,2.25
19,1.8,9.75
19,1.2,4.25
19,3.2,5
19,0.9,2.75
19,1.2,4.75
19,2,6.75
19,3.2,7.5
19,0.8,6.75
19,0,8.75
19,1.7,8.25
19,2.1,6.5
19,2,6
19,0.8,4.25
19,0.2,6.25
19,0.7,4
19,0.4,7
19,0.9,3.25
19,1.4,6.75
19,1.9,5
19,1.7,5.5
19,2.7,9
19,1.7,4.75
19,1.8,7.25
20,7.3,8.25
20,4.8,5
20,5.7,5.5
20,5.1,7.25
20,5.7,6.75
20,5.9,4.75
20,6.9,4.25
20,5.6,6.25
20,5.4,2.5
20,6.1,5.5
20,5.2,4
20,6.8,10
20,6.4,5
20,7.3,5.25
20,7.9,6.25
20,7.3,6.5
20,6.2,4.5
20,6.9,8
20,6.6,9.25
20,8.5,7.5
20,8.7,8.5
20,6.8,5.75
20,5.6,4.75
20,7.7,9.25
20,7.2,5
20,5.5,8.5
20,6.1,1
20,6.7,9
20,5.1,6.25
20,5.9,4.75
20,7.5,8.5
20,7.4,10
20,5.5,7.5
20,5.9,5.75
20,7.3,7
20,7.9,5.75
20,5.7,4.75
20,7.3,7.5
20,7.4,9.25
20,6.9,8.25
20,5.8,6
20,4.8,6
20,5.8,4
20,6,5.25
20,7.4,8.5
21,3.7,6
21,2.4,8.25
21,4.6,10
21,4.5,7.5
21,3,7
21,2.5,6
21,3.5,8
21,3.3,5.25
21,3.9,7.25
21,4,5.75
21,4.5,7.25
21,3.8,6.25
21,2.9,9.25
21,4.3,8
21,5.1,7.75
21,2.1,5.75
21,4.2,7.5
21,4.4,10
21,4.2,7.5
21,2.9,7.75
21,3.4,10
21,2.2,7.5
21,4.4,7.25
21,1.8,8.5
21,3.9,9.25
21,4.1,4.75
21,3.4,7
21,5.2,4.75
21,2.5,5.5
21,4.1,8.5
21,5.1,6.75
21,5.7,9.5
21,5.8,8.75
21,4.2,7.75
21,5.4,6
21,2.3,8
21,3.6,9.5
21,3.5,10
21,2.7,8.75
21,1.8,6.25
21,2.3,4.75
21,3.1,5.5
21,2.1,7.25
21,4.6,5.5
21,5.4,7.75
22,3.7,9.75
22,2.3,4.5
22,5.2,7
22,2,5.25
22,2.9,7.5
22,1.2,6.5
22,4,8
22,3.5,5.5
22,3.5,7.75
22,3.4,8.5
22,2.7,3.25
22,3.4,6.25
22,4,8.25
22,3.5,8.25
22,3.6,8.5
22,4.3,6
22,5.2,9.75
22,3.7,6.5
22,4,4.75
22,0.5,4
22,4.6,7.75
22,3.6,7.75
22,4.8,10
22,4.6,8
22,3,5.25
22,3.6,4.75
22,4.3,10
22,4.5,6.25
22,1.9,3.5
22,2.9,6.5
22,4.3,8.5
22,2.2,5.5
22,3.3,9.75
22,3.2,4.75
22,4.9,7.5
22,3.2,10
22,5.4,5.5
22,3,6.25
22,4,9
22,2,4.75
22,2,7.75
22,4.7,8.5
22,5.4,9.5
22,2.5,5.25
22,2.5,1.5
23,2.4,8.75
23,2.9,8
23,2.5,7.75
23,2.5,6
23,3.9,6.5
23,2.2,8.25
23,1.3,2.75
23,2.6,8.25
23,2.4,7
23,2.4,6.25
23,2.9,7.25
23,3.1,8.25
23,2.7,4.25
23,2.7,6.5
23,4.1,6.25
23,5.5,10
23,1.7,8.5
23,2.8,8.75
23,2.3,5
23,3.5,8.25
23,2.6,4.5
23,3.6,9.5
23,2.8,9.75
23,4.2,8.5
23,4.1,10
23,5,7.25
23,2.8,5
23,2.4,7.25
23,3.1,3.5
23,3.7,8.5
23,2.5,4.25
23,2.2,4.25
23,3.9,6.5
23,3.7,7.75
23,2.6,3.75
23,2.5,8
23,3.9,9.25
23,3.4,4.75
23,2.3,5.5
23,3.4,10
23,4,5.25
23,3.3,8.75
23,4,7.75
23,5.3,8.25
23,2.7,4.25
24,2.8,9.25
24,1.2,10
24,2.2,8.5
24,1.8,9.5
24,3.2,9
24,1.5,7
24,0.8,7.75
24,1.9,8.5
24,2.4,6
24,0.1,5.25
24,1.1,9
24,2.7,7
24,-0,8
24,1.4,8.25
24,2.5,9
24,1.4,9.25
24,1.5,4.5
24,2.3,7.75
24,3.4,10
24,0.7,4.25
24,0.2,7.75
24,1.3,7
24,1,8
24,2.2,3.25
24,0.6,6.5
24,0.5,5
24,0,7.5
24,2.9,7.5
24,2.6,5.5
24,3.3,8
24,1.2,7
24,2.9,10
24,1.6,7
24,3.3,8.75
24,2.6,6.25
24,2.6,9.5
24,1.1,6.75
24,3.8,10
24,2.2,9.5
24,3.7,7.75
24,2.2,5.25
24,3.7,10
24,2.8,8.5
24,0,10
24,1,7
25,5.4,5.75
25,6.9,5.25
25,5.5,3.25
25,6,7
25,6.7,8
25,6.1,3.25
25,5.1,7.25
25,7.4,7.25
25,6.7,4.5
25,5.1,4.75
25,4.7,6.25
25,5,7
25,5.7,5
25,5.3,5.5
25,5.5,4
25,6.4,7.75
25,5.4,5.25
25,5.8,5.75
25,5.8,4.25
25,4.3,6.25
25,5.5,3.75
25,5.9,5
25,5.3,4.5
25,7.4,2.5
25,7.2,6
25,6,7.5
25,6.4,10
25,6.6,6.25
25,5.4,3.75
25,6.1,5.25
25,5.4,6.5
25,6,5
25,6.3,3
25,5.1,3.5
25,4.1,5
25,6,7.75
25,6.4,6.25
25,3.3,8.5
25,7.8,5
25,6.9,7.75
25,7.3,7.5
25,5.9,6.75
25,7.2,4.75
25,5.2,3.75
25,7.1,5.5
26,5.7,8.5
26,6.9,3.25
26,6.8,7
26,5.8,4.75
26,6,5.25
26,5.6,5
26,5.7,5.75
26,6.3,4
26,7.4,4.75
26,5.8,6.25
26,5.7,7.25
26,7.6,7.5
26,8,2.75
26,6,6
26,7.5,3.5
26,5.7,7
26,7.3,6.5
26,7,6.75
26,6.4,4.25
26,8.2,6
26,8,5
26,6.1,5
26,7.4,3.25
26,8.6,6
26,7.1,5.25
26,8.6,8.25
26,6.8,4
26,6.2,7.75
26,5,2.25
26,7.5,3.5
26,5.3,1.5
26,7.2,7.25
26,6.1,8.25
26,7.3,6.5
26,6.3,5.75
26,7.7,6.25
26,6.1,3
26,5.1,8.5
26,5.8,7.25
26,5.7,5.25
26,7.4,7.75
26,7.7,6.25
26,7.1,6.25
26,6.9,2.75
26,7.9,6.5
27,7.8,4.5
27,8.3,2.75
27,8.2,3
27,8.8,3.25
27,9.2,5.75
27,7.8,4
27,8.2,5
27,7.2,5.5
27,8.6,6
27,6.9,1.25
27,7,2
27,9.1,5.5
27,8,4.25
27,7.6,2.5
27,8.3,1
27,6.5,7.25
27,6.8,4.5
27,7.8,2
27,7.3,7.75
27,6,8.75
27,8.5,5.5
27,7.3,5.5
27,6.7,4
27,6.4,3.75
27,6.9,7.25
27,7.5,5.5
27,7.5,6
27,7.5,5.25
27,8.6,4.25
27,7.2,5.75
27,7.3,3
27,7.8,6.25
27,5.8,4.25
27,8.6,7
27,9.7,4
27,7.2,4.75
27,7.6,4.75
27,8.5,2
27,8.8,5.25
27,7.8,6.25
27,6.6,6.25
27,6.9,3
27,6.4,4.5
27,6.5,3.25
27,7.2,6
28,4.3,6
28,2.4,7.5
28,1.2,4.75
28,3,10
28,3.1,9.75
28,2.6,6.25
28,2.5,9.75
28,1.9,7
28,3.7,7.25
28,1.5,5.25
28,2,9
28,1.6,5.75
28,2.1,4.75
28,1.9,6.5
28,2.7,4.25
28,2.2,10
28,3.4,7.25
28,2.3,5.25
28,2.9,5.5
28,2.6,7
28,1,6.5
28,3.2,9
28,3.1,7.25
28,4,6.75
28,3.2,4.5
28,3.8,7.25
28,1.3,6.75
28,3,4
28,2.6,6.25
28,1.2,4.5
28,3.7,7.75
28,3.5,5.25
28,2.8,8.75
28,2.7,8
28,5.1,5.75
28,2.5,3.75
28,1.6,4.75
28,3.4,7
28,3.2,9.5
28,3.3,8.25
28,2.9,7.75
28,2.2,7.75
28,1.6,6.5
28,2.6,2.25
28,3.5,5
29,4.4,6.25
29,5.4,5.25
29,2.6,5.75
29,4.8,3.5
29,6.1,6.25
29,5,6
29,6.5,6
29,3.4,8.75
29,6.8,6
29,4.8,5.5
29,4.2,7.5
29,5.5,6.75
29,5.6,8.5
29,4.1,6.25
29,6.4,5.25
29,5.1,6
29,4.1,3.75
29,3,5.25
29,5.1,6.25
29,6.9,2.5
29,4.3,5.5
29,5,4.5
29,5.8,7.75
29,7.1,9.75
29,3.9,2.5
29,5.2,8
29,3.3,9.75
29,4.2,9
29,5.5,7.75
29,5.5,8.25
29,4.6,5.25
29,6.1,7.25
29,4,7.5
29,4,8.75
29,6,7.5
29,4.8,4.5
29,5.2,10
29,6.1,3.5
29,4.8,7.5
29,4.8,6.25
29,4,7
29,4.9,7
29,3.8,3.5
29,5.6,10
29,5,5.75
30,7.4,10
30,5.1,6.5
30,6.4,9.75
30,6.5,7.25
30,6.5,8.5
30,4.8,10
30,5,6
30,5.6,8
30,4.6,8.25
30,6.7,10
30,5.7,4.75
30,8.1,7.75
30,4.8,7.25
30,6.6,7.25
30,6.3,6.25
30,6.9,6.75
30,7.9,9.75
30,5.8,10
30,5.3,10
30,5.8,9.75
30,5.9,8.75
30,6.9,9.25
30,7.7,9
30,5.7,6.25
30,6.7,9.25
30,8,7
30,7.8,9.5
30,7.1,7.75
30,6.2,7.75
30,7,8.25
30,7.6,9
30,7,7.5
30,5.4,5.75
30,6.6,10
30,6.7,9
30,7.5,6.5
30,4.4,4.75
30,4.9,8.25
30,5.7,10
30,5.2,6.5
30,5.8,8
30,5.6,8.25
30,7.2,9.75
30,7.2,5
30,6.6,8.25
31,6.1,10
31,3.9,5.5
31,7.1,9.5
31,7.9,9
31,6.8,9.5
31,7.2,5.5
31,5.4,9.25
31,6.4,8.5
31,5.3,4.75
31,5.6,9
31,5.8,7
31,7.6,8.25
31,6,10
31,5.2,9.25
31,6.6,5
31,6.3,5.5
31,4.8,9
31,6.2,8.25
31,6.1,5.5
31,7.6,9.5
31,5.6,10
31,7.2,8
31,6.6,7
31,5.5,4.5
31,7,5
31,7.1,7
31,6.1,5.25
31,5.8,7.5
31,6,10
31,6.5,8.75
31,6.3,6.75
31,5.1,9.75
31,5.7,6.75
31,6.5,10
31,5.9,8.5
31,6.1,5.75
31,6.5,8.25
31,6.4,9.25
31,7,8.5
31,6.3,6.5
31,6.7,8.5
31,7.9,10
31,6.9,7
31,4.3,5.25
31,6.7,9.75
32,3.3,5.25
32,4.2,7
32,4.9,7
32,6,5.75
32,6.6,5.75
32,5,7.5
32,6.6,8.75
32,5,7.75
32,5.7,10
32,4.5,9
32,5.7,4.75
32,4.4,5.75
32,6.1,4.75
32,6.5,7.25
32,5.8,6
32,5.7,7
32,7.2,6
32,5.8,9.75
32,4.5,8
32,4.8,5.75
32,6.1,5.25
32,4.5,6.75
32,6,6.25
32,5,7.5
32,5,8.5
32,5,7.25
32,4,4.75
32,6.8,7.5
32,5.7,7.75
32,5.4,3.25
32,6.1,8.5
32,5,10
32,3.6,4.75
32,6.2,6.25
32,5,5.5
32,5.2,8.25
32,5.3,8.5
32,2.8,6.75
32,7,4.75
32,4.2,6.75
32,4.8,9.5
32,5.9,4.25
32,4.2,6.25
32,6,4.75
32,4.4,6.75
33,7.7,8.25
33,8,5.25
33,8.8,6
33,8,8.75
33,8.5,2.5
33,7.5,4.75
33,9.5,4.25
33,9.7,4.5
33,10.1,5.75
33,7.4,7.25
33,8.5,2.75
33,8.3,5.25
33,7.5,3.75
33,9.5,4.25
33,10,8
33,7.9,6
33,8.6,3.5
33,10,6.25
33,8.7,7
33,9.5,9
33,9.2,3
33,8.8,9.25
33,8.6,6.75
33,9,6.75
33,10.3,6
33,9,7.5
33,8.9,8
33,7.3,7.25
33,7.7,6.5
33,7.8,4
33,11.6,7
33,8.3,2.5
33,10.3,5.75
33,8.8,4.5
33,9.3,8.5
33,9.4,4.75
33,10.2,4.75
33,9.3,9.5
33,9.3,5.25
33,6.6,4
33,8.6,5
33,8.3,4
33,9.6,4.75
33,10.5,9
33,7.6,5
34,6,6.75
34,5.3,7.75
34,7,10
34,7.8,7.25
34,8.1,9.75
34,5.9,7.75
34,4.3,7
34,6.7,6.5
34,7.5,3.75
34,6.2,7
34,7,10
34,6.6,7.5
34,5.7,6.5
34,7,4
34,6.9,7
34,7.3,9.75
34,5.2,8.5
34,7.3,9.75
34,4.8,8.5
34,7.3,8
34,6.9,6.25
34,5.3,8.5
34,7.4,7.25
34,6.7,6.25
34,8,10
34,5.4,6
34,5.1,5.25
34,7.2,9.5
34,7.2,6.5
34,6.1,3.75
34,5.4,7.25
34,3.9,5.5
34,6,7
34,6.9,3.5
34,5,7
34,4.6,8.75
34,5.6,7.25
34,7.5,4.75
34,5.7,6.5
